Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
admirable.tickets,available,74,5%,9,"Business,Education,Healthcare",,,
manageable.tickets,available,74,4%,10,"Business,Education,Technology",,,
activated.tickets,available,74,9%,9,"Healthcare,Manufacturing,Technology",,,
mavin.tickets,available,74,7%,5,"Entertainment,Fashion,Technology",,,
abnormal.tickets,available,74,16%,8,"Medicine,Science",,,
aberrant.tickets,available,74,6%,8,"Medicine,Science",,,
adenoid.tickets,available,74,1%,7,"Health and Fitness,Medicine,Science",,,
cleared.tickets,available,74,7%,7,"Healthcare,Law,Transportation",,,
sensation.tickets,available,74,7%,9,"Entertainment,Media,Sports",,,
accepting.tickets,available,74,3%,9,"Education,Healthcare",,,
playing.tickets,available,74,12%,7,Entertainment,,,
adamant.tickets,available,74,14%,7,Religion,,,
acuate.tickets,available,74,2%,6,"Engineering,Medicine,Science",,,
realizable.tickets,available,74,1%,10,"Business,Education,Technology",,,
adrenergic.tickets,available,74,1%,10,"Education,Healthcare,Science",,,
single.tickets,available,74,19%,6,Sports,,,
skilful.tickets,available,74,3%,7,"Education,Health and Fitness,Sports",,,
adapted.tickets,available,74,6%,7,"Healthcare,Manufacturing,Technology",,,
eightieth.tickets,available,72,1%,9,Mathematics,,,
ablaze.tickets,available,72,6%,6,Entertainment,,,
trinity.tickets,available,72,18%,7,Religion,,,
absorbed.tickets,available,72,2%,8,"Entertainment,Media,Technology",,,
engrossed.tickets,available,72,1%,9,"Entertainment,Media,Technology",,,
adonic.tickets,available,72,2%,6,"Arts,Education,Entertainment",,,
accusative.tickets,available,72,0%,10,"Humanities,Law",,,
adaptative.tickets,available,72,1%,10,"Business,Education,Technology",,,
improvize.tickets,available,72,1%,9,Entertainment,,,
champion.tickets,available,72,28%,8,"Entertainment,Health and Fitness,Sports",,,
seventieth.tickets,available,72,1%,10,Mathematics,,,
adiabatic.tickets,available,72,3%,9,"Engineering,Science",,,
abloom.tickets,available,72,5%,6,Agriculture,,,
deep.tickets,available,72,41%,4,"Engineering,Mathematics,Science",,,
lovely.tickets,available,72,26%,6,"Entertainment,Fashion,Retail",,,
absolutist.tickets,available,72,1%,10,"Humanities,Law,Politics",,,
sixtieth.tickets,available,72,1%,8,Mathematics,,,
ternary.tickets,available,72,7%,7,Mathematics,,,
liv.tickets,available,72,27%,3,Mathematics,,,
ninetieth.tickets,available,72,1%,9,Mathematics,,,
existent.tickets,available,72,3%,8,"Mathematics,Science",,,
abreast.tickets,available,72,2%,7,"Business,Technology",,,
adjunctive.tickets,available,72,1%,10,"Healthcare,Manufacturing,Technology",,,
addicted.tickets,available,72,9%,8,Healthcare,,,
trey.tickets,available,72,14%,4,Sports,,,
accustomed.tickets,available,72,1%,10,"Business,Education,Humanities",,,
aching.tickets,available,72,4%,6,Healthcare,,,
adjectival.tickets,available,72,1%,10,Education,,,
practiced.tickets,available,70,3%,9,"Education,Health and Fitness,Sports",,,
skillful.tickets,available,70,9%,8,"Education,Health and Fitness,Sports",,,
acuminate.tickets,available,70,1%,9,"Engineering,Medicine,Science",,,
abulic.tickets,available,70,1%,6,Medicine,,,
recumbent.tickets,available,70,2%,9,"Healthcare,Medicine,Science",,,
consequent.tickets,available,70,3%,10,"Business,Education,General,Technology",,,
unity.tickets,available,70,40%,5,Mathematics,,,
tiptop.tickets,available,70,24%,6,Fashion,,,
stillborn.tickets,available,70,2%,9,"Medicine,Science",,,
adjusted.tickets,available,70,5%,8,"Manufacturing,Retail,Technology",,,
abradant.tickets,available,70,1%,8,"Construction,Manufacturing",,,
accumbent.tickets,available,70,1%,9,"Healthcare,Medicine,Science",,,
offhand.tickets,available,70,2%,7,Entertainment,,,
adored.tickets,available,70,6%,6,"Entertainment,Fashion,Retail",,,
admired.tickets,available,70,5%,7,"Business,Education,Healthcare",,,
gymnastic.tickets,available,70,3%,9,"Entertainment,Sports",,,
adamantine.tickets,available,70,4%,10,Religion,,,
lowdown.tickets,available,70,6%,8,"Entertainment,Media",,,
absorbing.tickets,available,70,3%,9,"Entertainment,Media,Technology",,,
miserable.tickets,available,70,4%,9,Humanities,,,
overseas.tickets,available,68,12%,8,"Hospitality,Travel",,,
fortieth.tickets,available,68,0%,8,Mathematics,,,
aberdonian.tickets,available,68,1%,10,Geography,,,
achaian.tickets,available,68,2%,7,Humanities,,,
disciple.tickets,available,68,14%,8,"Education,Religion",,,
ennead.tickets,available,68,5%,6,Mathematics,,,
acerate.tickets,available,68,1%,7,Science,,,
aculeate.tickets,available,68,1%,8,"Engineering,Medicine,Science",,,
activating.tickets,available,68,3%,10,"Healthcare,Manufacturing,Technology",,,
achaean.tickets,available,68,2%,7,Humanities,,,
septenary.tickets,available,68,1%,9,Mathematics,,,
stygian.tickets,available,68,5%,7,Humanities,,,
abkhas.tickets,available,68,0%,6,Geography,,,
foursome.tickets,available,68,4%,8,Sports,,,
accredited.tickets,available,68,9%,10,"Business,Education,Healthcare",,,
abnaki.tickets,available,68,1%,6,Geography,,,
vindicated.tickets,available,68,2%,10,"Humanities,Law,Politics",,,
licensed.tickets,available,68,5%,8,"Business,Healthcare,Insurance",,,
fiftieth.tickets,available,68,0%,8,Mathematics,,,
octonary.tickets,available,68,1%,8,Mathematics,,,
scurvy.tickets,available,68,3%,6,Humanities,,,
licenced.tickets,available,68,2%,8,"Business,Healthcare,Insurance",,,
ane.tickets,available,68,12%,3,Mathematics,,,
sevener.tickets,available,68,1%,7,Mathematics,,,
ablative.tickets,available,68,3%,8,Science,,,
decorated.tickets,available,68,3%,9,"Entertainment,Fashion,Retail",,,
threesome.tickets,available,68,5%,9,Entertainment,,,
abducent.tickets,available,68,0%,8,Medicine,,,
aroused.tickets,available,68,3%,7,"Entertainment,Health and Fitness",,,
thirtieth.tickets,available,68,1%,9,Mathematics,,,
buzzing.tickets,available,66,7%,7,"Entertainment,Media,Technology",,,
adorned.tickets,available,66,5%,7,"Entertainment,Fashion,Retail",,,
according.tickets,available,66,3%,9,"Business,Education,Technology",,,
ninety.tickets,available,66,11%,6,Mathematics,,,
xxv.tickets,available,66,6%,3,Mathematics,,,
abstinent.tickets,available,66,1%,9,"Health and Fitness,Religion",,,
adopted.tickets,available,66,4%,7,"Education,Healthcare",,,
six.tickets,available,66,26%,3,Mathematics,,,
maven.tickets,available,66,30%,5,"Entertainment,Fashion,Technology",,,
acervate.tickets,available,66,1%,8,Science,,,
five.tickets,available,66,26%,4,Mathematics,,,
thirty.tickets,available,66,8%,6,Mathematics,,,
fifty.tickets,available,66,12%,5,Mathematics,,,
onec.tickets,available,66,6%,5,Mathematics,,,
xvii.tickets,available,66,5%,4,Mathematics,,,
xxi.tickets,available,66,10%,3,Mathematics,,,
latest.tickets,available,66,18%,6,Technology,,,
xviii.tickets,available,66,5%,5,Mathematics,,,
teenager.tickets,available,66,4%,8,"Education,Entertainment,Healthcare",,,
xiii.tickets,available,66,9%,4,Mathematics,,,
deuce.tickets,available,66,9%,5,Sports,,,
tenner.tickets,available,66,5%,6,Finance,,,
acrobatic.tickets,available,66,4%,9,"Entertainment,Sports",,,
xxvi.tickets,available,66,3%,4,Mathematics,,,
performing.tickets,available,66,6%,10,Entertainment,,,
four.tickets,available,66,27%,4,Mathematics,,,
clv.tickets,available,66,10%,3,Mathematics,,,
xvi.tickets,available,66,5%,3,Mathematics,,,
xxii.tickets,available,66,6%,4,Mathematics,,,
century.tickets,available,66,17%,7,Education,,,
exonerated.tickets,available,66,2%,10,"Humanities,Law,Politics",,,
modish.tickets,available,66,5%,6,Fashion,,,
sextet.tickets,available,66,1%,6,Entertainment,,,
acappella.tickets,available,66,6%,10,Entertainment,,,
eighty.tickets,available,66,6%,6,Mathematics,,,
accessary.tickets,available,66,1%,9,"Business,Law,Technology",,,
xii.tickets,available,66,10%,3,Mathematics,,,
astringent.tickets,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
rising.tickets,available,64,18%,6,"Construction,Manufacturing,Real Estate",,,
aflame.tickets,available,64,3%,6,Entertainment,,,
absolved.tickets,available,64,1%,8,"Humanities,Law,Religion",,,
acentric.tickets,available,64,2%,8,Science,,,
nondrinker.tickets,available,64,1%,10,"Health and Fitness,Religion",,,
deviant.tickets,available,64,12%,7,"Medicine,Science",,,
scatty.tickets,available,64,1%,6,"Arts,Entertainment,Media",,,
ccc.tickets,available,64,38%,3,Mathematics,,,
accordant.tickets,available,64,3%,9,"Arts,Entertainment",,,
adagio.tickets,available,64,14%,6,Entertainment,,,
twodozen.tickets,available,62,1%,9,Mathematics,,,
eighteenth.tickets,available,62,1%,10,Mathematics,,,
quartet.tickets,available,62,7%,7,"Arts,Entertainment",,,
orso.tickets,available,62,9%,5,"Business,Media,Technology",,,
accusing.tickets,available,62,1%,8,Law,,,
cumulative.tickets,available,62,2%,10,"Banking,Finance,Insurance",,,
fortyfour.tickets,available,62,6%,10,Mathematics,,,
accrued.tickets,available,62,2%,7,"Banking,Finance,Insurance",,,
pungent.tickets,available,62,1%,7,Food and Beverage,,,
adjuvant.tickets,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
activation.tickets,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
longdozen.tickets,available,62,2%,10,Mathematics,,,
roughly.tickets,available,62,3%,7,"Business,Media,Technology",,,
sixteenth.tickets,available,62,1%,9,Mathematics,,,
abo.tickets,available,62,15%,3,Science,,,
ensuant.tickets,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
adoptive.tickets,available,62,1%,8,"Education,Healthcare",,,
chiliad.tickets,available,62,2%,7,Mathematics,,,
wrapped.tickets,available,62,13%,7,"Fashion,Hospitality,Retail",,,
aufait.tickets,available,62,3%,7,"Fashion,Media",,,
admissible.tickets,available,62,1%,10,"Education,Healthcare,Law",,,
troika.tickets,available,62,8%,6,Politics,,,
aborigine.tickets,available,62,1%,9,Humanities,,,
eleventh.tickets,available,62,5%,8,Mathematics,,,
nail.tickets,available,62,16%,4,"Construction,Fashion,General,Retail",,,
playacting.tickets,available,62,1%,10,Entertainment,,,
acidic.tickets,available,62,5%,6,"Food and Beverage,Science",,,
exculpated.tickets,available,62,1%,10,"Humanities,Law,Politics",,,
activistic.tickets,available,62,1%,10,"Humanities,Politics",,,
clx.tickets,available,60,10%,3,Mathematics,,,
adnexal.tickets,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
annexal.tickets,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
cxv.tickets,available,60,4%,3,Mathematics,,,
abstemious.tickets,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
cxx.tickets,available,60,10%,3,Mathematics,,,
eightysix.tickets,available,60,7%,10,Mathematics,,,
adnate.tickets,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
cxl.tickets,available,60,7%,3,Mathematics,,,
cxlv.tickets,available,60,2%,4,Mathematics,,,
abstainer.tickets,available,60,0%,9,"Health and Fitness,Religion",,,
aboveboard.tickets,available,60,5%,10,"Business,Law",,,
paunchy.tickets,available,60,0%,7,"Health and Fitness,Medicine",,,
clxx.tickets,available,60,3%,4,Mathematics,,,
cxxv.tickets,available,60,1%,4,Mathematics,,,
clxxv.tickets,available,60,1%,5,Mathematics,,,
cxxx.tickets,available,60,4%,4,Mathematics,,,
cautionary.tickets,available,60,1%,10,"Business,Education,Healthcare",,,
idolised.tickets,available,60,1%,8,"Entertainment,Fashion,Retail",,,
abashed.tickets,available,60,1%,7,Humanities,,,
sixty.tickets,available,60,13%,5,Mathematics,,,
tertiary.tickets,available,60,4%,8,Education,,,
thou.tickets,available,60,7%,4,Mathematics,,,
xcl.tickets,available,60,5%,3,Mathematics,,,
octet.tickets,available,60,12%,5,Arts,,,
acceptive.tickets,available,60,1%,9,"Education,Healthcare",,,
clxv.tickets,available,60,1%,4,Mathematics,,,
idolized.tickets,available,60,3%,8,"Entertainment,Fashion,Retail",,,
cxxxv.tickets,available,60,2%,5,Mathematics,,,
clxxx.tickets,available,60,1%,5,Mathematics,,,
tercet.tickets,available,59,2%,6,"Arts,Entertainment,Media",,,
aucourant.tickets,available,58,3%,10,"Fashion,Media",,,
adhoc.tickets,available,58,24%,6,"Business,Engineering,Technology",,,
accretive.tickets,available,58,6%,9,"Banking,Finance,Insurance",,,
alacarte.tickets,available,58,11%,10,Food and Beverage,,,
sixer.tickets,available,58,5%,5,Sports,,,
pentad.tickets,available,58,2%,6,Mathematics,,,
super.tickets,available,58,47%,5,Business,,,
centesimal.tickets,available,58,1%,10,Mathematics,,,
hexad.tickets,available,58,4%,5,Mathematics,,,
linear.tickets,available,58,22%,6,"Engineering,Mathematics,Science",,,
sixtyone.tickets,available,58,3%,9,Mathematics,,,
eighter.tickets,available,58,2%,7,Mathematics,,,
abused.tickets,available,58,5%,6,"Healthcare,Law",,,
actuarial.tickets,available,58,8%,9,"Finance,Insurance,Mathematics",,,
adient.tickets,available,58,4%,6,"Medicine,Science",,,
heptad.tickets,available,58,1%,6,Mathematics,,,
lxxx.tickets,available,58,2%,4,Mathematics,,,
fifth.tickets,available,58,12%,5,Mathematics,,,
abridged.tickets,available,58,4%,8,Media,,,
niner.tickets,available,58,5%,5,Mathematics,,,
offhanded.tickets,available,58,1%,9,Entertainment,,,
closeto.tickets,available,58,3%,8,"Business,Media,Technology",,,
acetic.tickets,available,58,1%,6,"Food and Beverage,Science",,,
cypher.tickets,available,58,29%,6,Mathematics,,,
addible.tickets,available,58,2%,7,"Engineering,Mathematics,Science",,,
abandoned.tickets,available,58,10%,9,"Construction,Real Estate",,,
accoutred.tickets,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
abuzz.tickets,available,58,5%,5,"Entertainment,Media,Technology",,,
twelfth.tickets,available,58,2%,7,Mathematics,,,
octad.tickets,available,58,5%,5,Mathematics,,,
adjustive.tickets,available,58,1%,9,"Manufacturing,Retail,Technology",,,
lxxviii.tickets,available,58,1%,7,Mathematics,,,
addressed.tickets,available,58,3%,9,"Business,Technology,Telecommunications",,,
tetrad.tickets,available,58,5%,6,Mathematics,,,
acyclic.tickets,available,58,4%,7,"Engineering,Mathematics,Science",,,
seventy.tickets,available,58,7%,7,Mathematics,,,
fourth.tickets,available,58,13%,6,Mathematics,,,
justabout.tickets,available,58,3%,10,"Business,Media,Technology",,,
fourscore.tickets,available,58,4%,9,Mathematics,,,
accented.tickets,available,58,3%,8,"Arts,Entertainment",,,
seven.tickets,available,58,36%,5,Mathematics,,,
quintet.tickets,available,58,8%,7,"Arts,Entertainment",,,
sextuplet.tickets,available,58,1%,9,Healthcare,,,
ache.tickets,available,58,7%,4,Healthcare,,,
enwrapped.tickets,available,58,0%,9,"Entertainment,Fashion,Media",,,
lvi.tickets,available,56,8%,3,Mathematics,,,
fortysix.tickets,available,56,3%,9,Mathematics,,,
xxxii.tickets,available,56,1%,5,Mathematics,,,
xxiii.tickets,available,56,5%,5,Mathematics,,,
fiftyfive.tickets,available,56,7%,10,Mathematics,,,
triad.tickets,available,56,15%,5,Arts,,,
terzetto.tickets,available,56,3%,8,Arts,,,
aone.tickets,available,56,15%,5,Food and Beverage,,,
admittible.tickets,available,56,1%,10,"Education,Healthcare,Hospitality",,,
fortytwo.tickets,available,56,17%,9,Mathematics,,,
accoutered.tickets,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
fiftysix.tickets,available,56,4%,9,Mathematics,,,
xxxviii.tickets,available,56,1%,7,Mathematics,,,
maledict.tickets,available,56,1%,8,Religion,,,
abeyant.tickets,available,56,1%,7,"Business,Law",,,
thirtyone.tickets,available,56,5%,10,Mathematics,,,
xxxvii.tickets,available,56,2%,6,Mathematics,,,
fiftyfour.tickets,available,56,3%,10,Mathematics,,,
xxxiii.tickets,available,56,2%,6,Mathematics,,,
thirtytwo.tickets,available,56,5%,10,Mathematics,,,
potbellied.tickets,available,56,0%,10,"Health and Fitness,Medicine",,,
xlvi.tickets,available,56,3%,4,Mathematics,,,
xxxv.tickets,available,56,4%,4,Mathematics,,,
admissive.tickets,available,56,1%,9,"Education,Healthcare,Hospitality",,,
xli.tickets,available,56,5%,3,Mathematics,,,
xliii.tickets,available,56,1%,5,Mathematics,,,
xxiv.tickets,available,56,5%,4,Mathematics,,,
xliv.tickets,available,56,2%,4,Mathematics,,,
fiftytwo.tickets,available,56,6%,9,Mathematics,,,
liii.tickets,available,56,4%,4,Mathematics,,,
fortyone.tickets,available,56,4%,9,Mathematics,,,
addled.tickets,available,56,2%,6,Entertainment,,,
fiftynine.tickets,available,56,4%,10,Mathematics,,,
fiftyone.tickets,available,56,7%,9,Mathematics,,,
xxxi.tickets,available,56,9%,4,Mathematics,,,
xlviii.tickets,available,56,1%,6,Mathematics,,,
thirtysix.tickets,available,56,5%,10,Mathematics,,,
appressed.tickets,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
xxviii.tickets,available,56,1%,6,Mathematics,,,
halfdozen.tickets,available,56,1%,10,Mathematics,,,
